Additional Sources ,Count 
"COVEPOINT CAPITAL ADVISORS LLC New York, NY",
"EMM  WEALTH New York, NY",
"FAMILY MANAGEMENT CORPORATION New York, NY",
"FAMILY OFFICE ADVISORS LLC New York, NY",
"FFO LLC New York, NY",
"FIDUCIARY TRUST (FRANKLIN TEMPLETON INVESTMENTS) New York, NY",
"FRIEDMAN KAPLAN SEILER & ADELMAN LLP New York, NY",
"GELLER FAMILY OFFICE SERVICE LLC New York, NY",
"GOLDMAN SACHS ASSET MANAGEMENT LP New York, NY",
"JMC FAMILY OFFICE New York, NY",
"J.P. MORGAN PRIVATE BANK New York, NY",
"LOPRESTI LAW GROUP PC New York, NY",
"MANCHESTER CAPITAL MANAGEMENT LLC New York, NY",
"MARCUM LLP New York, NY",
"MORGAN STANLEY PRIVATE WEALTH ADVISORS New York, NY",
"OPPENHEIMER & CO. INC New York, NY",
"PEPPER INTERNATIONAL LLC New York, NY",
"PRESTI & NAEGELE ACCOUNTING OFFICES New York, NY",
"PRICE WATERHOUSE COOPERS LLP New York, NY",
"PRIVOS CAPITAL New York, NY",
"ROCKEFELLER & CO. INC New York, NY",
"SIERRA CAPITAL LLC New York, NY",
"SILVERCREST ASSET MANAGEMENT GROUP LLC New York, NY",
"TAG ASSOCIATE LLC New York, NY",
"TANNENBAUM HELPERN SYRACUSE & HIRSCHTRITT LLP New York, NY",
"THE ABERNATHY GROUP II New York, NY",
"THE NEW YORK FAMILY OFFICE New York, NY",
"TIEDEMANN WEALTH MANAGEMENT New York, NY",
"UBS GLOBAL FAMILY OFFICE GROUP New York, NY",
"U.S. TRUST FAMILY OFFICE New York, NY",
"WITTER FAMILY OFFICES New York, NY",
NORTH CAROLINA FAMILY OFFICES,
"ALTAVISTA WEALTH MANAGEMENT INC Asheville, NC",
"BILTMORE FAMILY OFFICE Charlotte, NC",
"BLAIR BOHLE & WHITSITT PLLC Charlotte, NC",
"BYRON FINANCIAL LLC Charlotte, NC",
"COLONY FAMILY OFFICES Chapel Hill, NC & Charlotte, NC",
"ETON ADVISORS LP Chapel Hill, NC",
"FRANKLIN STREET PARTNERS Chapel Hill, NC",
"GENSPRINGS FAMILY OFFICES LLC Charlotte, NC",
"HAYDEN HARPER Charlotte, NC",
"HUTCHINSON FAMILY OFFICES Greensboro, NC",
"LONG FAMILY OFFICE Wilmington, NC & Reedley, CA",
"MCGREEVER LLC Raleigh, NC",
"TAFT FAMILY OFFICES Greenville, NC",
"WORTH ADVISORS Charlotte, NC & Brentwood, TN & Southfield, MI",
OHIO FAMILY OFFICES,
"ANCORA ADVISORS LLC Cleveland, OH",
"BRATENAHL CAPITAL PARTNERS Cleveland, OH",
"CAPITAL ASSET MANAGEMENT Columbus, OH",
"CM WEALTH ADVISORS Pepper Pike, OH",
"CORNERSTONE FAMILY OFFICE LLC Mayfield Heights, OH",
"GRIES FINANCIAL LLC Cincinnati, OH & Cleveland, OH",
"HARTLAND & CO Cleveland, OH",
"PARLAN FINANCIAL GROUP Toledo, OH",
"SEQUOIA FINANCIAL ADVISORS LLC Akron, OH",
"ST. CLAIR ADVISORS LLC Mayfield Heights, OH",
OKLAHOMA FAMILY OFFICES,
"COVENANT MULTIFAMILY OFFICES LLC Oklahoma City, OK",
"GUPTA FAMILY OFFICE Oklahoma, City",
"ROGERS AND BELL Tulsa, OK",
"SQUARE DEAL CAPITAL INC Oklahoma City, OK",
OREGON FAMILY OFFICES,
"CAPITAL FAMILY OFFICE Beaverton, OR",
"GEFFEN MESHER Portland, OR",
"MERIWETHER FAMILY OFFICE Portland, OR",
"PORTLAND PRIVATE WEALTH MANAGEMENT INC Portland, OR",
"RAVENSVIEW CAPITAL MANAGEMENT LLC Portland, OR",
"VERGEPOINTE WEALTH MANAGEMENT LLC Lake Oswego, OR",
PENNSYLVANIA FAMILY OFFICES,
"BALDWIN MANAGEMENT LLC West Conshohocken, PA",
"CORNERSTONE FAMILY OFFICE LLC Bryn, Mawr, PA",
"FERBERT & ASSOCIATES LLC Pittsburgh, PA",
"FORTIS PARTNERS LLC King of Prussia, PA",
"HANDWERK MULT FAMILY OFFICE LLC Lansdale, PA",
"HWSC Sewickley, PA",
"KESTREL INVESTMENTS LLC Philadelphia, PA",
"LGL PARTNERS LLC Conshohocken, PA",
"MCGUIREWOODS LLP Pittsburg, PA",
"PITCAIRN Philadelphia, PA",
"SOCIUS FAMILY OFFICE Wexford, PA",
"THE PNC FINANCIAL SERVICES GROUP Philadelphia, PA",
"VERITABLE LP Philadelphia, PA",
"WALDRON PRIVATE WEALTH Bridgeville, PA",
RHODES ISLAND FAMILY OFFICES,
"BLUMSHAPIRO Cranston, RI",
"DISANTO PRIEST & CO Warwick, RI",
"FOUNDERS FAMILY OFFICE North Kingstown, RI",
SOUTH CAROLINA FAMILY OFFICES,
"MALLOY & COMPANY Cheraw, SC & La Jolla, CA",
"ROADSTEAD CAPITAL PARTNERS LLC Charleston, SC",
SOUTH DAKOTA FAMILY OFFICES,
"BRIDGEFORD TRUST CO Pierre, SD",
"SAGEWORTH TRUST CO Sioux Falls, SD & Lancaster, PA",
TENNESSEE FAMILY OFFICES,
"ARLINGTON FAMILY OFFICES. Franklin, TN",
"DOBBS MANAGEMENT SERVICE LLC Memphis, TN",
GENSPRING FAMILY OFFICES LLC,
"GREEN SQUARE CAPITAL LLC Memphis, TN & Louisville, KY",
"JONES WEALTH STRATEGIES Nashville, TN",
"KINGS POINT CAPITAL MANAGEMENT LLC Brentwood, TN & Great Neck, NY",
"RAYMOND JAMES & ASSOCIATES INC Memphis, TN",
"SILVERLEAFE CAPITAL PARTNERS LLC Memphis, TN",
"SOUTHWORTH CAPITAL MANAGEMENT Memphis, TN",
TEXAS FAMILY OFFICES,
"CATHEXIS HOLDINGS LP Houston, TX & Newtonville, MA",
"GALAPAGOS PARTNERS LP Houston, TX",
"HALLWOOD Dallas, TX",
"JF2 CAPITAL PARTNERS Dallas, TX",
